frame;intention_direction;intention_proximity
1828;left;10
1829;left;10
1830;left;10
1831;left;10
1832;left;10
1833;left;10
1834;left;10
1835;left;10
1836;left;10
1837;left;10
1838;left;10
1839;left;10
1840;left;10
1841;left;10
1842;left;10
1843;left;10
1844;left;10
1845;left;10
1846;left;10
1847;left;10
1848;left;10
1849;left;10
1850;left;10
1851;left;10
1852;left;10
1853;left;10
1854;left;10
1855;left;10
1856;left;10
1857;left;10
1858;left;10
1859;left;10
1860;left;10
1861;left;10
1862;left;10
1863;left;10
1864;left;10
1865;left;10
1866;left;10
1867;left;10
1868;left;10
1869;left;10
1870;left;10
1871;left;10
1872;left;10
1873;left;10
1874;left;10
1875;left;10
1876;left;10
1877;left;10
1878;left;10
1879;left;10
1880;left;10
1881;left;10
1882;left;10
1883;left;10
1884;left;10
1885;left;10
1886;left;10
1887;left;10
1888;left;10
1889;left;10
1890;left;10
1891;left;10
1892;left;10
1893;left;10
1894;left;10
1895;left;10
1896;left;10
1897;left;10
1898;left;10
1899;left;10
1900;left;10
1901;left;10
1902;left;10
1903;left;10
1904;left;10
1905;left;10
1906;left;10
1907;left;10
1908;left;10
1909;left;10
1910;left;10
1911;left;10
1912;left;10
1913;left;10
1914;left;10
1915;left;10
1916;left;10
1917;left;10
1918;left;10
1919;left;10
1920;left;10
1921;left;10
1922;left;10
1923;left;10
1924;left;10
1925;left;10
1926;left;10
1927;left;10
1928;left;10
1929;left;10
1930;left;10
1931;left;10
1932;left;10
1933;left;10
1934;left;10
1935;left;10
1936;left;10
1937;left;10
1938;left;10
1939;left;10
1940;left;10
1941;left;10
1942;left;10
1943;left;10
1944;left;10
1945;left;10
1946;left;10
1947;left;10
1948;left;10
1949;left;10
1950;left;10
1951;left;10
1952;left;10
1953;left;10
1954;left;10
1955;left;10
1956;left;10
1957;left;10
1958;left;10
1959;left;10
1960;left;10
1961;left;10
1962;left;10
1963;left;10
1964;left;10
1965;left;10
1966;left;10
1967;left;10
1968;left;10
1969;left;10
1970;left;9
1971;left;9
1972;left;9
1973;left;9
1974;left;8
1975;left;8
1976;left;8
1977;left;7
1978;left;7
1979;left;6
1980;left;5
1981;left;5
1982;left;4
1983;left;3
1984;left;3
1985;left;2
1986;left;2
1987;left;1
1988;left;0
1989;left;0
1990;left;129
1991;left;128
1992;left;128
1993;left;127
1994;left;127
1995;left;126
1996;left;126
1997;left;125
1998;left;124
1999;left;124
2000;left;123
2001;left;123
2002;left;122
2003;left;121
2004;left;121
2005;left;120
2006;left;120
2007;left;119
2008;left;119
2009;left;118
2010;left;117
2011;left;117
2012;left;116
2013;left;116
2014;left;115
2015;left;114
2016;left;114
2017;left;113
2018;left;113
2019;left;112
2020;left;112
2021;left;111
2022;left;110
2023;left;110
2024;left;109
2025;left;109
2026;left;108
2027;left;108
2028;left;107
2029;left;107
2030;left;106
2031;left;105
2032;left;105
2033;left;104
2034;left;104
2035;left;103
2036;left;102
2037;left;102
2038;left;101
2039;left;101
2040;left;100
2041;left;100
2042;left;99
2043;left;98
2044;left;98
2045;left;97
2046;left;96
2047;left;96
2048;left;95
2049;left;95
2050;left;94
2051;left;94
2052;left;93
2053;left;92
2054;left;92
2055;left;91
2056;left;91
2057;left;90
2058;left;90
2059;left;89
2060;left;88
2061;left;88
2062;left;87
2063;left;86
2064;left;86
2065;left;85
2066;left;85
2067;left;84
2068;left;84
2069;left;83
2070;left;82
2071;left;82
2072;left;81
2073;left;81
2074;left;80
2075;left;80
2076;left;79
2077;left;78
2078;left;78
2079;left;77
2080;left;77
2081;left;76
2082;left;76
2083;left;75
2084;left;74
2085;left;74
2086;left;73
2087;left;72
2088;left;72
2089;left;71
